candidate_id,display_name,country_code,guide_id,source_path,status,target_guide_id,reason,evidence,updated_at
tw:63000,台北市,CN,cn-1668341,destinations/中国/台湾省/台北市.md,researched,,首访都会文化、古城饮食或港湾代表城市,site/data/tw-city-centers.csv；城市稿来源与更新记录,2026-09-06
tw:65000,新北市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:68000,桃园市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:66000,台中市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:67000,台南市,CN,cn-1668355,destinations/中国/台湾省/台南市.md,researched,,首访都会文化、古城饮食或港湾代表城市,site/data/tw-city-centers.csv；城市稿来源与更新记录,2026-09-06
tw:64000,高雄市,CN,cn-1673820,destinations/中国/台湾省/高雄市.md,researched,,首访都会文化、古城饮食或港湾代表城市,site/data/tw-city-centers.csv；城市稿来源与更新记录,2026-09-06
tw:10017,基隆市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10018,新竹市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10020,嘉义市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10002010,宜兰市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10004010,竹北市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10005010,苗栗市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10005050,头份市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10007010,彰化市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10007100,员林市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10008010,南投市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10009010,斗六市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10010010,太保市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10010020,朴子市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10013010,屏东市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10014010,台东市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10015010,花莲市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
tw:10016010,马公市,CN,,,deferred,,本批未研究；保留现有城市地图入口，不以区域简述计完整稿,site/data/tw-city-centers.csv,2026-09-06
