country_code,city,geonames_id,map_id,status,page_path,last_reviewed,reason,search_query,source_urls
KR,首尔市,1835848,south-korea-11000,researched,destinations/韩国/直辖城市/首尔市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitseoul.net/attractions/Gyeongbokgung%20Palace/ENP000072;https://english.visitseoul.net/attractions/Changdeokgung-Palace/ENP000295;https://english.seoul.go.kr/wp-content/themes/seoul-e/assets/images/hanok/img/hanok-map-2-eng.pdf;https://www.museum.go.kr/ENG/contents/E0101000000.do;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=223055
KR,釜山市,1838524,south-korea-21000,researched,destinations/韩国/直辖城市/釜山市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=72894;https://www.visitbusan.net/en/index.do?lang_cd=en&menuCd=DOM_000000303011001000&uc_seq=377;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=248645;https://www.visitbusan.net/index.do?lang_cd=en&menuCd=DOM_000000301002002001&uc_seq=1540;https://english.visitkorea.or.kr/svc/sp/HallyuNew/contentsView.do?dataSetId=76&vcontsId=227729
KR,大邱市,1835329,south-korea-22000,researched,destinations/韩国/直辖城市/大邱市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://tour.daegu.go.kr/eng/index.do?menu_id=00000050;https://korean.visitkorea.or.kr/detail/rem_detail.do?cotid=33f76e2c-d70e-4ea0-8857-d8be7dc56147;https://k-mice.visitkorea.or.kr/mice/upload/eng/help/tools/pdf/daegu.pdf
KR,仁川市,1843564,south-korea-23000,researched,destinations/韩国/直辖城市/仁川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=69156;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=105442;https://english.visitkorea.or.kr/svc/contents/contentsView.do?dataSetId=234&menuSn=977&vcontsId=174438;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=227856;https://english.visitkorea.or.kr/svc/contents/rmsCsulView.do?menuSn=958&vcontsId=219616
KR,光州市,1841811,south-korea-jngj,researched,destinations/韩国/直辖城市/光州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://www.gwangju.go.kr/eng/contentsView.do?pageId=eng21;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=193806;https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=607&vcontsId=228603;https://english.visitkorea.or.kr/public/assets/TraditionalMarkets/others/K_Tourism_Market_Top10_eng.pdf
KR,大田市,1835235,south-korea-25000,researched,destinations/韩国/直辖城市/大田市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=248216;https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=351&vcontsId=82059;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=111269;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=221280
KR,蔚山市,1833747,south-korea-26000,researched,destinations/韩国/直辖城市/蔚山市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://tour.ulsan.go.kr/tour/eng/contents.ulsan?mId=001006000000000000;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191206;https://whc.unesco.org/en/list/1740/;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=191200;https://english.visitkorea.or.kr/public/assets/TraditionalMarkets/others/K_Tourism_Market_Top10_eng.pdf
KR,世宗市,11523293,south-korea-29000,researched,destinations/韩国/直辖城市/世宗市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=210;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=219508;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=34237;https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=193810
KR,水原市,1835551,south-korea-31010,researched,destinations/韩国/京畿道/水原市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94415;https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=550044;https://english.visitkorea.or.kr/svc/contents/contentsView.do?menuSn=958&vcontsId=218941
KR,城南市,1836091,south-korea-31020,researched,destinations/韩国/京畿道/城南市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=86479;https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=138536;https://english.visitkorea.or.kr/svc/whereToGo/locIntrdn/rgnContentsView.do?vcontsId=1580768
KR,议政府市,1833787,south-korea-31030,researched,destinations/韩国/京畿道/议政府市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=289743;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=183625
KR,安养市,1846894,south-korea-31040,researched,destinations/韩国/京畿道/安养市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94328;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=194523
KR,富川市,1838715,south-korea-31050,researched,destinations/韩国/京畿道/富川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=215510;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=78270;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=81498
KR,光明市,8393794,south-korea-31060,researched,destinations/韩国/京畿道/光明市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=72952;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93641;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=75869
KR,平泽市,1838341,south-korea-31070,researched,destinations/韩国/京畿道/平泽市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94162;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=194372
KR,东豆川市,1834308,south-korea-31080,researched,destinations/韩国/京畿道/东豆川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94416;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=74278
KR,安山市,8393792,south-korea-31090,researched,destinations/韩国/京畿道/安山市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=81517;https://english.visitkorea.or.kr/svc/contents/infoHtmlView.do?vcontsId=219541
KR,高阳市,1842486,south-korea-31100,researched,destinations/韩国/京畿道/高阳市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=75425;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93702;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94927
KR,果川市,8393798,south-korea-31110,researched,destinations/韩国/京畿道/果川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=111436;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=110760
KR,九里市,8393803,south-korea-31120,researched,destinations/韩国/京畿道/九里市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=111004;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93617
KR,南杨州市,1840374,south-korea-31130,researched,destinations/韩国/京畿道/南杨州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=88041;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=215628
KR,乌山市,8393795,south-korea-31140,researched,destinations/韩国/京畿道/乌山市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93757;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=216388
KR,始兴市,1837364,south-korea-31150,researched,destinations/韩国/京畿道/始兴市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=67021;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=227104
KR,军浦市,8393793,south-korea-31160,researched,destinations/韩国/京畿道/军浦市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=223255;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93612
KR,义王市,8393796,south-korea-31170,researched,destinations/韩国/京畿道/义王市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=87462;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=176002
KR,河南市,8393790,south-korea-31180,researched,destinations/韩国/京畿道/河南市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=81492;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=67577
KR,龙仁市,1832426,south-korea-31190,researched,destinations/韩国/京畿道/龙仁市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=148063;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=111430;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=111173
KR,坡州市,1839430,south-korea-31200,researched,destinations/韩国/京畿道/坡州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=89943;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=104721
KR,利川市,1843700,south-korea-31210,researched,destinations/韩国/京畿道/利川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=187305;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=78910
KR,安城市,1846909,south-korea-31220,researched,destinations/韩国/京畿道/安城市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=290338;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=186861
KR,金浦市,1842170,south-korea-31230,researched,destinations/韩国/京畿道/金浦市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=112651;https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=182
KR,华城市,8604734,south-korea-31240,researched,destinations/韩国/京畿道/华城市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94979;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=94108
KR,广州市,1841809,south-korea-31250,researched,destinations/韩国/京畿道/广州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=110830;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=93635
KR,杨州市,8393804,south-korea-31260,researched,destinations/韩国/京畿道/杨州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=188845;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=80577
KR,抱川市,1839102,south-korea-31270,researched,destinations/韩国/京畿道/抱川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=66111;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=90691
KR,骊州市,1832742,south-korea-31280,researched,destinations/韩国/京畿道/骊州市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=102284;https://english.visitkorea.or.kr/svc/whereToGo/hdrdslt/hdrdsltView.do?crsSn=396228
KR,春川市,1845134,south-korea-32010,researched,destinations/韩国/江原特别自治道/春川市.md,2026-09-06,城市成稿、身份和来源完成核查。,,https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=112537;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=72314;https://english.visitkorea.or.kr/svc/contents/contentsView.do?vcontsId=221263
